"","Markets","M.PRESENTACION","Tipo","Periodo","ventasValor","ventasEQ2","ventasUnds","precioEQ2","precioUnds","ratioVentas","distNum"
"37","Autoservicios Total Mexico_MT","INDIVIDUAL","COLA",2024-12-01,1336965361.28,12163443.35,76383154.72,109.917,17.503,370.184,99.94
"38","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2021-12-01,673615268.399,9461773.821,41050724.888,157.388513761468,14.7206146788991,4.75126605504587,26.4000458715596
"39","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2022-01-01,676228275.067,9351288.922,39777780.553,168.326467889908,15.3084220183486,4.71764220183486,26.5145596330275
"40","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2022-02-01,463176978.4,6026608.747,30851189.231,161.173825688073,14.611128440367,3.9281376146789,26.5878623853211
"41","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2022-03-01,590864060.894,7574809.38,41078911.364,164.229174311927,14.9016055045872,3.87433944954128,26.6432660550459
"42","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2022-04-01,675909856.467,8614803.639,45660311.592,171.071256880734,15.5112201834862,4.40148623853211,26.6963669724771
"43","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2022-05-01,733032636.499,9102030.216,47840331.006,181.990816513761,15.8474128440367,3.90907339449541,26.6230458715596
"44","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2022-06-01,704202520.485,8773848.842,46115727.558,165.089330275229,15.3098256880734,4.55661467889908,26.6087339449541
"45","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2022-07-01,756966243.634,9407456.861,49337495.971,151.125394495413,14.6744862385321,4.8913119266055,26.4031559633028
"46","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2022-08-01,722791247.814,8920350.597,46347196.487,172.103275229358,15.9346880733945,3.85505504587156,26.3873302752294
"47","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2022-09-01,685083369.851,8433669.021,44051965.723,176.895688073394,15.7690183486239,4.3514128440367,26.2744403669725
"48","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2022-10-01,618553076.433,7356130.578,41043164.806,183.613926605505,15.9558532110092,3.81345871559633,26.5660275229358
"49","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2022-11-01,620549171.56,7487655.895,41428721.675,180.232036697248,15.6318899082569,3.83816513761468,27.1510917431193
"50","Autoservicios Total Mexico_MT","INDIVIDUAL","Sabores",2022-12-01,787556481.713,10012621.353,48401137.282,184.571266055046,16.0985229357798,4.95538532110092,27.3040733944954
