"","Markets","M.PRESENTACION","Tipo","Periodo","ventasValor","ventasEQ2","ventasUnds","precioEQ2","precioUnds","ratioVentas","distNum"
"38","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2021-12-01,70459034.156,911355.714,3849068.015,139.681586956522,12.8894347826087,3.29197826086957,24.8973369565217
"39","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2022-01-01,72132479.635,934755.75,3774204.428,136.02575,12.8236086956522,3.36919565217391,24.9975217391304
"40","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2022-02-01,50701322.857,614834.564,2994016.582,148.720641304348,13.2959782608696,2.97519565217391,25.2223152173913
"41","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2022-03-01,60463056.625,721384.316,3703134.606,159.806217391304,14.2365543478261,2.74986956521739,25.4227282608696
"42","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2022-04-01,69450855.104,831739.456,4184368.382,156.929304347826,14.0961413043478,3.00654347826087,25.3365543478261
"43","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2022-05-01,71893010.067,841034.815,4100354.203,156.413413043478,14.0176304347826,2.5598152173913,25.374597826087
"44","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2022-06-01,72668870.839,846917.359,4202804.536,160.166989130435,14.3855108695652,3.09855434782609,25.2737065217391
"45","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2022-07-01,84890969.187,976847.273,4859883.304,161.580913043478,14.3122826086957,3.53857608695652,24.2924891304348
"46","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2022-08-01,82009047.352,913065.493,4634805.356,165.06547826087,14.6457391304348,2.76397826086957,25.487597826087
"47","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2022-09-01,77410559.541,857115.488,4400366.888,167.293456521739,14.3492717391304,3.12796739130435,25.1059782608696
"48","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2022-10-01,75334812.492,812588.23,4323369.102,175.038141304348,14.8089782608696,2.98661956521739,25.4028369565217
"49","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2022-11-01,65754640.176,712081.108,3768954.093,163.372673913043,14.199152173913,2.57863043478261,25.4443260869565
"50","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2022-12-01,79487198.492,923855.177,4196587.182,167.334293478261,14.3420326086957,3.28670652173913,25.421347826087
"51","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2023-01-01,79588592.571,912155.355,4039627.077,167.989141304348,14.5564673913043,2.68795652173913,25.5872826086957
"52","Autoservicios Area 1_MT","INDIVIDUAL","Sabores",2023-02-01,54650149.359,567448.811,2959444.154,170.314119565217,14.8747282608696,2.0818152173913,25.5777065217391
